title,type,release_year,age_certification,runtime,genre ,country,imdb_rating,imdb_votes
After Maria,MOVIE,2019,Unknown,35, documentation  ,US,Unknown,Unknown
After the Raid,MOVIE,2019,Unknown,25, documentation  ,MX,Unknown,Unknown
After We Collided,MOVIE,2020,R,105, drama ,US,5,30522
After We Fell,MOVIE,2021,R,99, romance ,FR,4.6,13221
Afterlife of the Party,MOVIE,2021,Unknown,109, fantasy ,US,5.8,8728
Aftermath,MOVIE,2021,Unknown,114, horror ,US,5.3,15646
Against the Ice,MOVIE,2022,Unknown,102, drama ,DK,6.5,20521
Against the Tide,SHOW,2014,TV-14,44, drama  ,SG,7.6,11
Age of Rebellion,SHOW,2018,TV-MA,72, crime ,TW,8.6,49
Age of Samurai: Battle for Japan,SHOW,2021,TV-MA,43, documentation ,US,7.4,4119
Age of Tanks,SHOW,2017,TV-PG,54, documentation ,FR,7.3,900
Aggretsuko,SHOW,2018,TV-14,17, animation ,JP,8,6195
Aggretsuko: We Wish You A Metal Christmas,MOVIE,2018,Unknown,22, animation ,JP,Unknown,Unknown
Agneepath,MOVIE,1990,Unknown,174, drama ,IN,7.6,8947
Agust??n Aristar??n: Soy Rada,MOVIE,2018,Unknown,60, comedy  ,AR,6.2,126
Agyaat,MOVIE,2009,Unknown,98, horror ,IN,2.9,680
Ahaan,MOVIE,2019,Unknown,81, comedy ,IN,7,327
AI Love You,MOVIE,2022,PG-13,95, scifi ,TH,4.4,572
Aileen Wuornos: American Boogeywoman,MOVIE,2021,R,85, thriller ,US,3.7,1538
Ainori Love Wagon: Asian Journey,SHOW,2017,Unknown,30, reality  ,JP,6.8,276
Ainu Mosir,MOVIE,2020,Unknown,84, drama  ,CN,6.6,236
Airplane Mode,MOVIE,2020,Unknown,96, comedy ,BR,5.1,2603
Aiyaary,MOVIE,2018,Unknown,157, thriller ,IN,5.2,4732
Aiyyaa,MOVIE,2012,G,146, romance ,IN,4.3,1889
AJ and the Queen,SHOW,2020,TV-14,51, comedy ,US,7.4,8129
Ajab Prem Ki Ghazab Kahani,MOVIE,2009,PG,150, comedy ,IN,6.3,14603
Ajeeb Daastaans,MOVIE,2021,Unknown,142, drama ,IN,6.7,5743
Ajin,SHOW,2016,TV-MA,23, action ,JP,7.6,6199
AK vs AK,MOVIE,2020,Unknown,108, drama ,IN,6.9,14195
Al Hayba,SHOW,2017,TV-PG,44, drama ,AE,7.3,1288
Ala Vaikunthapurramuloo,MOVIE,2020,PG-13,165, action ,IN,7.3,17029
Alan Salda??a: Locked Up,MOVIE,2021,Unknown,49, comedy  ,Unknown,Unknown,Unknown
Alan Salda??a: mi vida de pobre,MOVIE,2017,Unknown,53, comedy  ,MX,6.3,71
Alaska Is a Drag,MOVIE,2017,Unknown,83, drama  ,US,6.5,421
Alba,SHOW,2021,TV-MA,50, drama  ,ES,6.2,511
Albert  Pinto Ko Gussa Kyun Aata Hai?,MOVIE,2019,Unknown,94, crime ,IN,5.5,1922
Alchemy of Souls,SHOW,2022,TV-14,80, drama ,KR,8.6,878
Alejandro Ria??o: Especial de stand up,MOVIE,2018,Unknown,60, comedy  ,CO,4.9,69
Alel??,MOVIE,2019,Unknown,88, comedy ,UY,6.3,377
Alessandro Cattelan: One Simple Question,SHOW,2022,TV-MA,30, comedy ,IT,6.5,209
Alex Fern??ndez: The Best Comedian in the World,MOVIE,2020,Unknown,51, comedy  ,MX,6.1,142
Alex Strangelove,MOVIE,2018,R,99, comedy ,US,6.3,17746
Alexa & Katie,SHOW,2018,TV-Y7,25, comedy ,US,7.4,4885
"Alexandria, Again and Forever",MOVIE,1989,Unknown,105, drama  ,FR,6.5,658
Alexandria?€? Why?,MOVIE,1979,Unknown,133, drama  ,EG,7.2,1727
Alexis de Anda: Mea Culpa,MOVIE,2017,Unknown,54, comedy  ,MX,4.9,101
Ali & Alia,MOVIE,2019,PG-13,105, drama ,EG,5,33
Ali & Ratu Ratu Queens,MOVIE,2021,Unknown,100, drama ,ID,7,1233
Ali Baba and the 7 Dwarfs,MOVIE,2015,PG-13,114, action ,TR,5.6,20155
Ali Wong: Baby Cobra,MOVIE,2016,Unknown,60, comedy  ,US,7.5,6988
Ali Wong: Don Wong,MOVIE,2022,R,59, comedy  ,US,6.5,2352
Ali Wong: Hard Knock Wife,MOVIE,2018,Unknown,64, comedy  ,US,7.3,4922
Alias Grace,SHOW,2017,TV-MA,44, drama ,CA,7.7,32177
Alibaba Aur 40 Chor,MOVIE,1979,Unknown,146, drama ,SU,6.2,565
Alice in Borderland,SHOW,2020,TV-MA,47, action ,JP,7.6,49446
Alice J??nior,MOVIE,2019,PG-13,90, romance ,BR,6.8,541
Alien TV,SHOW,2020,TV-Y7,24, family ,AU,6.1,299
Alien Warfare,MOVIE,2019,Unknown,88, action ,US,2.6,3527
Alien Worlds,SHOW,2020,TV-PG,44, documentation ,GB,6.5,3596
Ali's Wedding,MOVIE,2017,Unknown,110, romance ,AU,6.9,5008
Al-Khawaga's Dilemma,MOVIE,2018,Unknown,110, drama  ,EG,Unknown,Unknown
All About Asado,MOVIE,2016,Unknown,90, documentation  ,AR,6.5,579
All About Gila,MOVIE,2022,Unknown,76, comedy  ,Unknown,4.2,79
All About the Washingtons,SHOW,2018,TV-G,25, comedy ,US,4.5,723
All American,SHOW,2018,TV-14,42, drama ,US,7.6,9704
All American: Homecoming,SHOW,2022,TV-14,39, drama ,US,5.3,527
All Because of You,MOVIE,2020,Unknown,101, romance ,MY,3.9,218
All Day and a Night,MOVIE,2020,R,121, drama  ,US,5.9,3752
All For Love,SHOW,2020,Unknown,46,Unknown,CO,Unknown,Unknown
All Good,MOVIE,2018,Unknown,93, drama ,DE,6.5,1442
All Hail,MOVIE,2022,Unknown,118, drama ,AR,5.6,3172
All Hail King Julien,SHOW,2014,TV-Y7,23, comedy ,US,7,2042
All Hail King Julien: Exiled,SHOW,2017,TV-Y7,23, animation ,US,7.4,575
All I Wish,MOVIE,2018,G,94, romance ,US,5.2,1600
All in My Family,MOVIE,2019,Unknown,39, documentation  ,US,Unknown,Unknown
All My Friends Are Dead,MOVIE,2020,Unknown,95, comedy ,PL,5.8,6299
All of Us Are Dead,SHOW,2022,TV-MA,61, action ,KR,7.5,45027
All That,SHOW,1994,TV-G,22, comedy ,US,7.5,7718
All the Bright Places,MOVIE,2020,Unknown,108, romance ,US,6.5,28355
All the Freckles in the World,MOVIE,2019,Unknown,90, comedy ,MX,5.2,1290
All the Reasons to Forget,MOVIE,2017,Unknown,90, romance ,BR,6.2,526
All Together Now,MOVIE,2020,PG,92, drama  ,US,6.5,4388
"All's Well, Ends Well",MOVIE,2012,Unknown,118, romance ,HK,5.1,338
Alma Matters: Inside the IIT Dream,SHOW,2021,TV-MA,49, documentation ,IN,8.3,2346
Almost Happy,SHOW,2020,TV-MA,27, comedy  ,AR,6.8,934
Almost Love,MOVIE,2019,Unknown,94, comedy ,US,5.7,1133
Alone,SHOW,2015,TV-MA,51, reality ,US,8.4,5037
Alone/Together,MOVIE,2019,Unknown,103, romance ,PH,6.6,466
Along for the Ride,MOVIE,2022,Unknown,106, drama ,US,6.1,5347
Alpha and Omega,MOVIE,2010,PG,88, animation ,CA,5.1,14362
AlRawabi School for Girls,SHOW,2021,TV-14,48, drama  ,JO,7.3,5863
Alter Ego,MOVIE,2017,Unknown,111, drama  ,NG,5.7,58
Altered Carbon,SHOW,2018,TV-MA,52, scifi ,US,7.9,164872
Altered Carbon: Resleeved,MOVIE,2020,Unknown,75, scifi ,JP,6.5,6127
Always a Witch,SHOW,2019,TV-14,38, scifi ,CO,6.2,2474
Always Be My Maybe,MOVIE,2016,Unknown,112, comedy ,PH,6.6,379
Always Be My Maybe,MOVIE,2019,PG-13,102, romance ,US,6.8,55686
Amanda Knox,MOVIE,2016,Unknown,92, documentation ,DK,6.9,24488
Amandla,MOVIE,2022,Unknown,106, drama ,CA,5.5,391
Amar,MOVIE,2017,Unknown,105, romance ,US,5.1,4459
Amateur,MOVIE,2018,R,17, drama ,US,5.9,4459
Amazing Interiors,SHOW,2018,TV-PG,26, documentation  ,GB,6.6,802
Amend: The Fight for America,SHOW,2021,TV-MA,58, war ,US,7.8,1281
America: The Motion Picture,MOVIE,2021,R,98, action ,US,5.6,6349
American Factory,MOVIE,2019,Unknown,110, documentation  ,US,7.4,21694
American Factory: A Conversation with the Obamas,MOVIE,2019,Unknown,10, documentation  ,US,Unknown,Unknown
American Girl,MOVIE,2021,Unknown,101, drama ,TW,7.1,1221
American Murder: The Family Next Door,MOVIE,2020,R,83, documentation ,US,7.2,27193
American Pie Presents: Girls' Rules,MOVIE,2020,R,95, comedy  ,US,Unknown,Unknown
American Son,MOVIE,2019,Unknown,90, drama  ,US,5.8,7004
American Ultra,MOVIE,2015,R,96, action ,CH,6.1,89912
American Vandal,SHOW,2017,TV-MA,33, crime ,US,8.1,30399
American Woman,MOVIE,2019,R,85, drama  ,CA,Unknown,Unknown
America's Next Top Model,SHOW,2003,TV-14,44, reality  ,US,5.6,17905
Amina,MOVIE,2021,PG-13,120, war ,NG,3.8,311
Amit Tandon: Family Tandoncies,MOVIE,2020,Unknown,72, comedy  ,IN,7.1,255
Ammar,MOVIE,2020,Unknown,90, horror  ,Unknown,2.6,71
AMO,SHOW,2018,TV-MA,24, crime ,PH,6.4,409
Amsterdam to Anatolia,MOVIE,2019,Unknown,6, thriller ,NL,Unknown,Unknown
Amy Schumer Presents: Parental Advisory,MOVIE,2022,R,57, comedy ,Unknown,3.8,581
Amy Schumer: Growing,MOVIE,2019,Unknown,61, comedy  ,US,5.4,3872
Amy Schumer: The Leather Special,MOVIE,2017,Unknown,57, comedy  ,US,3.1,9830
Amy Tan: Unintended Memoir,MOVIE,2021,Unknown,101, documentation  ,US,7.7,321
An astrological guide for broken hearts,SHOW,2021,TV-14,34, romance ,IT,7.1,3034
